canonicalKey,displayName,legacyPageLabel,imageFilename,sourceUrl,altText,imageStatus,confidence
arete-rosa__pink-ring-bread,Arete rosa / Pink ring bread,Pink aretes,051-pink-aretes.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549167080322-SG3W708XAJAOLYZDB1RH/IMG_5982.JPG,Photo of Pink aretes from Juquilita Bakery.,legacyVerified,high
mono-con-ajonjoli__sesame-bow-bread,Moño con ajonjolí / Sesame bow bread,Sesame moños,052-sesame-monos.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549167101321-BZNALE95PS1FU7ZQZIWY/IMG_5971.JPG,Photo of Sesame moños from Juquilita Bakery.,legacyVerified,high
yoyo-de-ajonjoli__sesame-yoyo,Yoyo de ajonjolí / Sesame yoyo,Sesame yoyos,053-sesame-yoyos.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549167104486-27PXAFSBXEOIBTJPYGP4/IMG_5968.JPG,Photo of Sesame yoyos from Juquilita Bakery.,legacyVerified,high
yoyo-de-gragea__sprinkle-yoyo,Yoyo de gragea / Sprinkle yoyo,Sprinkle yoyos,054-sprinkle-yoyos.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549167101078-9FQIIUGXQHRZ5MRD7SX1/IMG_5970.JPG,Photo of Sprinkle yoyos from Juquilita Bakery.,legacyVerified,high
piez__piez-bread,Piez / Piez bread,Piez,093-piez.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549165012567-R2BRTG8A9B8W8XSDGO6O/0115191031b_2+%281%29.jpg,Photo of Piez from Juquilita Bakery.,legacyVerified,high
piez-de-chocolate__chocolate-piez,Piez de chocolate / Chocolate piez,Chocolate piez,094-chocolate-piez.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549165012952-DM57K374S9W63LDUP11C/0115191031a_2+%281%29.jpg,Photo of Chocolate piez from Juquilita Bakery.,legacyVerified,high
cuernito-polveado-de-chocolate__powdered-chocolate-horn,Cuernito polveado de chocolate / Powdered chocolate horn,Chocolate powdered cuernitos,095-chocolate-powdered-cuernitos.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549165022621-CV1R1LM2EUFZ5NXL5JKJ/0115191031_2.jpg,Photo of Chocolate powdered cuernitos from Juquilita Bakery.,legacyVerified,high
nueces-polveadas__powdered-walnut-bread,Nueces polveadas / Powdered walnut bread,Powdered nueces,098-powdered-nueces.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1560797275706-ILJPLZF8NOYBWOJCJFUV/0614191536.jpg,Photo of Powdered nueces from Juquilita Bakery.,legacyVerified,high
empanada-de-crema-bavaria__bavarian-cream-empanada,Empanada de crema Bavaria / Bavarian cream empanada,Bavarian cream empanadas,101-bavarian-cream-empanadas.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549167083362-MNNLY6G9HVVTSB47DBUD/IMG_5981.JPG,Photo of Bavarian cream empanadas from Juquilita Bakery.,legacyVerified,high
empanada-de-calabaza__pumpkin-empanada,Empanada de calabaza / Pumpkin empanada,Pumpkin empanadas,102-pumpkin-empanadas.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549167087736-KBNF0QU7IO6LU67FQ1E6/IMG_5979.JPG,Photo of Pumpkin empanadas from Juquilita Bakery.,legacyVerified,high
empanada-de-manzana__apple-empanada,Empanada de manzana / Apple empanada,Apple empanadas,103-apple-empanadas.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549167096249-X2F5MVCKAP3C0AIMJOJR/IMG_5972.JPG,Photo of Apple empanadas from Juquilita Bakery.,legacyVerified,high
empanada-de-pina__pineapple-empanada,Empanada de piña / Pineapple empanada,Pineapple empanadas,104-pineapple-empanadas.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549167096058-Y4IQPPWKWUSCMYUC7D6X/IMG_5973.JPG,Photo of Pineapple empanadas from Juquilita Bakery.,legacyVerified,high
taquito-de-fresa__strawberry-filled-taquito,Taquito de fresa / Strawberry filled taquito,Strawberry taquitos,105-strawberry-taquitos.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549167076197-PZBGS8MY6GCNTDLBEKXX/IMG_5985.JPG,Photo of Strawberry taquitos from Juquilita Bakery.,legacyVerified,high
taquito-de-crema-bavaria__bavarian-cream-taquito,Taquito de crema Bavaria / Bavarian cream taquito,Bavarian cream taquitos,106-bavarian-cream-taquitos.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549167072913-K0WCVEISBIBJH39Y4TIM/IMG_5986.JPG,Photo of Bavarian cream taquitos from Juquilita Bakery.,legacyVerified,high
empanadita-de-cajeta__cajeta-mini-empanada,Empanadita de cajeta / Cajeta mini empanada,Cajeta empanaditas,107-cajeta-empanaditas.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549171684536-O7UMTTL14FY3XTS7NLJ2/IMG_4450.JPG,Photo of Cajeta empanaditas from Juquilita Bakery.,legacyVerified,high
empanadita-de-pina__pineapple-mini-empanada,Empanadita de piña / Pineapple mini empanada,Pineapple empanaditas,108-pineapple-empanaditas.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549171576975-P7Y49BE03NITODWS2SL7/0115190924.jpg,Photo of Pineapple empanaditas from Juquilita Bakery.,legacyVerified,high
oreja__elephant-ear-pastry,Oreja / Elephant ear pastry,Orejas elephant ears,137-orejas-elephant-ears.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549138077823-A4UQCNCDJJ4HHM9LN5Y7/IMG_6002.JPG,Photo of Orejas elephant ears from Juquilita Bakery.,legacyVerified,high
campechana__campechana-pastry,Campechana / Campechana pastry,,,,Photo coming soon for Campechana pastry.,needsOwnerPhoto,low
banderilla__banderilla-pastry,Banderilla / Banderilla pastry,Banderilla,139-banderilla.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549171628488-MKGFXN6MTMTF5IEOK2G0/IMG_5617+%281%29.JPG,Photo of Banderilla from Juquilita Bakery.,legacyVerified,high
reganada__reganada-pastry,Regañada / Regañada pastry,,,,Photo coming soon for Regañada pastry.,needsOwnerPhoto,low
rebanada-con-mantequilla__butter-sugar-slice,Rebanada con mantequilla / Butter sugar slice,Rebanada con mantequilla,127-rebanada-con-mantequilla.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549138108059-S9F8FKSSEH7QUOT5SWWX/IMG_6021.JPG,Photo of Rebanada con mantequilla from Juquilita Bakery.,legacyVerified,high
cuerno-de-danes__danish-croissant,Cuerno de danés / Danish croissant,Danish cuerno croissant,135-danish-cuerno-croissant.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549167070158-T3BL51NBVGYUFRSVAWTP/IMG_5989.JPG,Photo of Danish cuerno croissant from Juquilita Bakery.,legacyVerified,high
cono-danes-con-crema-bavaria__danish-cone-with-bavarian-cream,Cono danés con crema Bavaria / Danish cone with Bavarian cream,Danish cones with Bavarian cream,136-danish-cones-with-bavarian-cream.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549138088652-8THQVNZ5YF4OA8N62DXI/IMG_6011.JPG,Photo of Danish cones with Bavarian cream from Juquilita Bakery.,legacyVerified,high
barquillo-de-crema-bavaria__puff-pastry-cone,Barquillo de crema Bavaria / Puff pastry cone,Bavarian cream barquillos,138-bavarian-cream-barquillos.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549138131730-B8CCHF5TNVRGP6T4XFJ2/IMG_6034.JPG,Photo of Bavarian cream barquillos from Juquilita Bakery.,legacyVerified,high
empanada-dorada__apple-or-strawberry-turnover,Empanada dorada / Apple or strawberry turnover,Golden apple or strawberry turnovers,140-golden-apple-or-strawberry-turnovers.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549138196264-UJWV6DA0CD6WMWSTONHU/IMG-5614.jpg,Photo of Golden apple or strawberry turnovers from Juquilita Bakery.,legacyVerified,high
canasta__fruit-basket-pastry,Canasta / Fruit basket pastry,Strawberry canastas,142-strawberry-canastas.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549138072686-0248BVBFJSAMWXYBI3WY/IMG_5999.JPG,Basket-shaped pastries filled with strawberry jam.,legacyVerified,medium
taquito-dorado-de-guayaba-con-queso__guava-cream-cheese-pastry,Taquito dorado de guayaba con queso / Guava cream cheese pastry,Golden pineapple or guava and cheese taquitos,147-golden-pineapple-or-guava-and-cheese-taquitos.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549138190509-0UKJZNW8WJYPCFK5G5D2/IMG-5613.jpg,Photo of Golden pineapple or guava and cheese taquitos from Juquilita Bakery.,legacyVerified,high
manteconcha__manteconcha,Manteconcha / Manteconcha,Manteconchas,148-manteconchas.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549138045667-CO6Z8F8QN6A9TYHP5NRR/IMG_5608.JPG,Photo of Manteconchas from Juquilita Bakery.,legacyVerified,high
flauta-de-fresa__strawberry-flute-pastry,Flauta de fresa / Strawberry flute pastry,Strawberry flautas,149-strawberry-flautas.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549170632759-XHR8U0JI0EXJ2MBD7FXJ/IMG_6037.PNG,Photo of Strawberry flautas from Juquilita Bakery.,legacyVerified,high
flauta-de-pina__pineapple-flute-pastry,Flauta de piña / Pineapple flute pastry,Pineapple flautas,150-pineapple-flautas.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549170643590-YNQZ6CIXWNSYZIGH5TTP/IMG_6036.PNG,Photo of Pineapple flautas from Juquilita Bakery.,legacyVerified,high
mil-hojas-con-crema-bavaria__mil-hojas-with-bavarian-cream,Mil hojas con crema Bavaria / Mil hojas with Bavarian cream,,,,Photo coming soon for Mil hojas with Bavarian cream.,needsOwnerPhoto,low
mil-hojas-con-guayaba__mil-hojas-with-guava,Mil hojas con guayaba / Mil hojas with guava,,,,Photo coming soon for Mil hojas with guava.,needsOwnerPhoto,low
churro__plain-churro,Churro / Plain churro,Churros,124-churros.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549168978527-H92T1S03JPPOEBUICVR2/0115190926a_HDR_2.jpg,Photo of Churros from Juquilita Bakery.,legacyVerified,high
churro-relleno-de-fresa__strawberry-filled-churro,Churro relleno de fresa / Strawberry filled churro,,,,Photo coming soon for Strawberry filled churro.,needsOwnerPhoto,low
churro-relleno-de-chocolate__chocolate-filled-churro,Churro relleno de chocolate / Chocolate filled churro,,,,Photo coming soon for Chocolate filled churro.,needsOwnerPhoto,low
churro-relleno-de-cajeta__cajeta-filled-churro,Churro relleno de cajeta / Cajeta filled churro,,,,Photo coming soon for Cajeta filled churro.,needsOwnerPhoto,low
dona-de-azucar__sugar-donut,Dona de azúcar / Sugar donut,Sugar donuts,130-sugar-donuts.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549138101538-0DVOL9EZILMT2YJBBJ4S/IMG_6017.JPG,Photo of Sugar donuts from Juquilita Bakery.,legacyVerified,high
trenza__donut-twist,Trenza / Donut twist,Trenzas,131-trenzas.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549138104586-25RB3GAKTKQXAOGDQSKX/IMG_6018.JPG,Photo of Trenzas from Juquilita Bakery.,legacyVerified,high
dona-glaseada__glazed-donut,Dona glaseada / Glazed donut,,,,Photo coming soon for Glazed donut.,needsOwnerPhoto,low
dona-de-chocolate__chocolate-donut,Dona de chocolate / Chocolate donut,Chocolate covered donuts,133-chocolate-covered-donuts.jpg,https://images.squarespace-cdn.com/content/v1/5c50e9ee266c07d1c2579e2e/1549138126279-IXJNS5TLR99R4C9F4FHW/IMG_6032.JPG,Photo of Chocolate covered donuts from Juquilita Bakery.,legacyVerified,high
